,site,plot,tag,species,dbh,high.rep,molecular,longitude,latitude,time.point,days_elapsed,years_elapsed,litterMass,dowelMass,mass.loss.litter,percent.loss.litter,mass.loss.dowel,percent.loss.dowel,k_litter,VWC,pH,WHC,SIR,soil.N,soil.C,soil.CN,litter.d15N,litter.d13C,litter.N,litter.C,litter.CN,lignin.N
69,BART,17,533,ACRU,53.1,TRUE,TRUE,-71.28434691,44.06306306,1,280,0.767123288,4.1934831,2.308723388,1.917482332,31.37773162,0.022276612,0.955667629,0.490863852,22.75555556,4.06,0.729123206,15.10074243,0.930031382,24.38287455,26.21726001,-3.7,-28.2,0.5,47.8,95.6,30.6
70,BART,17,535,ACRU,53.1,TRUE,TRUE,-71.28434691,44.06306306,1,280,0.767123288,4.258437796,1.271419983,1.897824549,30.82754507,1.131580017,47.09030448,0.480454001,22.75555556,4.06,0.729123206,15.10074243,0.930031382,24.38287455,26.21726001,-3.7,-28.2,0.5,47.8,95.6,30.6
71,BART,17,536,ACRU,53.1,TRUE,TRUE,-71.28434691,44.06306306,2,630,1.726027397,2.942964038,1.195483806,3.097997074,51.28318187,0.865516194,41.99496333,0.416648006,22.75555556,4.06,0.729123206,15.10074243,0.930031382,24.38287455,26.21726001,-3.7,-28.2,0.5,47.8,95.6,30.6
72,BART,18,99,FAGR,43.1,FALSE,FALSE,-71.28441287,44.06361193,1,280,0.767123288,6.147257338,1.890438103,0.421445752,6.415965924,0.341561897,15.30295238,0.086440334,19.41111111,4.37,0.595662543,8.519546278,0.60131637,13.41274853,22.30564341,-1.5,-28.9,0.7,47.1,67.28571429,34.14285714
73,BART,18,95,FAGR,43.1,FALSE,FALSE,-71.28441287,44.06361193,2,630,1.726027397,4.1897,0.9468,2.325353652,35.69201078,1.1592,55.04273504,0.255781753,19.41111111,4.37,0.595662543,8.519546278,0.60131637,13.41274853,22.30564341,-1.5,-28.9,0.7,47.1,67.28571429,34.14285714
74,BART,19,115,TSCA,44.2,FALSE,FALSE,-71.29081733,44.06043908,2,649,1.778082192,2.8085,1.4346,2.898383693,50.78750241,0.9504,39.8490566,0.39875692,20.6,4.05,0.60744121,15.30048464,1.080143676,28.81665586,26.67853964,-1.6,-32.7,1.3,50.1,38.53846154,13.07692308
75,BART,19,117,TSCA,44.2,FALSE,FALSE,-71.29081733,44.06043908,1,299,0.819178082,3.715572821,1.941657056,2.042653078,35.47365306,0.605342944,23.76690005,0.534800156,20.6,4.05,0.60744121,15.30048464,1.080143676,28.81665586,26.67853964,-1.6,-32.7,1.3,50.1,38.53846154,13.07692308
76,BART,20,118,FAGR,41.4,TRUE,TRUE,-71.29084523,44.06029496,1,299,0.819178082,4.446295611,1.976007175,1.380255741,23.6890685,0.129992825,6.172498818,0.330030788,17.48888889,4.13,0.629897899,10.75668643,0.782670586,19.02968478,24.31378553,-2.2,-29.7,1.1,50.4,45.81818182,21.72727273
77,BART,20,121,FAGR,41.4,TRUE,TRUE,-71.29084523,44.06029496,2,649,1.778082192,3.5573,1.7875,2.303582883,39.30436641,0.4175,18.93424036,0.28080728,17.48888889,4.13,0.629897899,10.75668643,0.782670586,19.02968478,24.31378553,-2.2,-29.7,1.1,50.4,45.81818182,21.72727273
78,BART,20,122,FAGR,41.4,TRUE,TRUE,-71.29084523,44.06029496,1,299,0.819178082,5.109105366,2.122737629,0.805727066,13.62214527,0.271262371,11.33092613,0.17876315,17.48888889,4.13,0.629897899,10.75668643,0.782670586,19.02968478,24.31378553,-2.2,-29.7,1.1,50.4,45.81818182,21.72727273
